Seattle,sgen,2.60%,Thursday,29-Apr,4:00 PM ET

Sirius,siri,1.41%,Wednesday,28-Apr,7:00 AM ET

Skyworks,swks,1.71%,Thursday,29-Apr,4:00 PM ET

Splunk,splk,0.93%,Wednesday,2-Jun,4:00 PM ET

Starbucks,sbux,0.70%,Tuesday,27-Apr,4:05 PM ET

Synopsys,snps,1.72%,Wednesday,19-May,4:05 PM ET

T-Mobile,tmus,0.30%,Tuesday,4-May,4:00 PM ET

Take-Two,ttwo,1.09%,Tuesday,18-May,4:05 PM ET

Tesla,tsla,3.28%,Monday,26-Apr,4:10 PM ET

Texas,txn,1.64%,Tuesday,27-Apr,4:00 PM ET

The,khc,1.47%,Thursday,29-Apr,7:00 AM ET

Trip.com,tcom,0.74%,Wednesday,2-Jun,5:00 PM ET

Ulta,ulta,0.37%,Thursday,10-Jun,4:05 PM ET

VeriSign,vrsn,0.60%,Thursday,22-Apr,4:05 PM ET

Verisk,vrsk,1.01%,Tuesday,4-May,4:10 PM ET

Vertex,vrtx,1.72%,Thursday,29-Apr,4:00 PM ET

Walgreens,wba,2.72%,Wednesday,30-Jun,7:00 AM ET

Western,wdc,4.61%,Thursday,29-Apr,4:00 PM ET

Workday,wday,0.53%,Thursday,27-May,4:00 PM ET

Xcel,xel,0.28%,Thursday,29-Apr,6:00 AM ET

Xilinx,xlnx,3.05%,Tuesday,4-May,4:20 PM ET

Zoom,zm,1.72%,Monday,31-May,4:05 PM ET
